TIC,Tmag,KIC,numax
48353223,11.0734,11015408,60.26
164530928,12.2464,6583850,30.73
237190722,12.3618,5939482,52.75
164529083,12.0598,7872822,32.44
237191990,12.5568,4901967,37.19
48353329,10.9072,10961390,32.56
237192068,11.5714,4813529,37.13
237190810,11.2084,5855568,35.61
164556232,10.5488,9815488,37.17
164555004,7.52149,9003096,70.19
237191555,11.5542,5253296,28.61
164552555,10.3185,7341343,14.22
164555267,12.0185,9202267,29.86
164553375,11.6086,7941728,65.49
164557281,10.8934,10518222,34.38
164555128,11.2665,9072262,38.62
164552873,10.7652,7587353,27.72
48353380,11.7945,10905767,132.78
237191762,11.4828,5077850,4.93
164552855,8.04578,7587374,141.76
164554329,10.0176,8607581,35.7
164531091,11.3874,6501237,62.72
164556544,11.3174,9995535,33.89
164555495,11.6986,9326421,67.86
164551843,11.5592,6841322,31.01
164555366,11.1905,9265119,16.28
164554350,11.6058,8607620,30.18
350988156,11.4223,5427229,44.67
164555527,11.5066,9326484,30.64
164556438,11.5921,9936015,124.38
164556787,11.5478,10190733,30.96
350988291,11.4934,5341131,60.22
350987590,11.5246,5939766,78.03
164556695,11.1279,10123207,159.94
164551831,11.4699,6841449,44.77
164531496,10.1,6755830,41.72
164557049,10.3487,10388249,53.55
48355111,10.483,11441797,58.05
164556894,11.3598,10257278,149.03
164554331,10.0987,8607720,158.23
164555306,12.1162,9202471,218.48
164646039,10.9865,6755907,43.19
164558028,9.0497,10190841,35.76
164559239,11.192,9388523,156.17
164558003,11.5169,10257326,100.59
48354878,11.5769,11336656,31.64
350986882,11.2468,6422994,44.82
164645906,11.9403,6755958,43.12
350988980,11.3062,4813971,34.3
350987719,11.7127,5770031,34.65
164558297,11.8217,9995755,33.06
350987304,11.7794,6103082,218.74
164559491,12.2505,9202550,28.89
164560670,11.9579,8478478,17.75
164646037,11.5888,6756017,31.52
164643853,10.3019,7587689,14.72
350988961,12.2627,4902442,168.65
164557938,11.4061,10257419,91.35
350988804,8.1907,4989752,40.39
164559489,11.6814,9202597,112.61
164557844,11.7825,10323079,30.67
350988634,9.7715,5078240,9.07
350988065,10.5261,5512777,30.7
164643666,10.7875,7664090,27.1
164643898,10.2497,7587763,36.98
120044017,11.7475,5253782,39.97
164560716,12.2416,8478550,32.58
164643916,11.9683,7587773,68.06
120043075,9.0362,5940060,52.78
120043014,11.8706,5940068,90.88
120043137,11.8249,5856054,59.73
164646465,8.8004,6584430,14.81
120043484,9.884,5598789,56.48
164646643,10.778,6501676,43.04
120044293,10.4021,5078332,42.62
164559137,11.8131,9449413,53.59
120044875,9.7595,4633131,110.28
164560258,9.5442,8737032,43.02
164645714,12.135,6841793,190.61
164560255,11.2681,8737047,23.52
120044599,10.365,4814187,77.5
120043350,10.6091,5685000,30.57
120044638,10.2172,4814198,50.31
164643536,8.8276,7664191,104.03
120044524,10.0957,4902641,96.73
164557867,6.02001,10323222,47.02
164646563,12.2065,6584555,170.27
164559732,12.349,9072725,31.37
164559466,11.2429,9265513,48.53
164560581,8.7856,8543200,40.1
164558113,11.6363,10123573,35.99
120044914,10.5881,4633238,37.17
120044537,10.8504,4902701,35.77
120043572,11.4026,5512996,29.43
164658198,10.8543,10453652,43.17
164651978,11.759,8348568,32.8
164656620,11.0865,9936456,35.18
164653888,10.7924,9003765,59.64
120043047,10.7543,5940228,26.79
164647337,11.2131,6669842,32.46
48418738,11.3157,11597759,28.53
164646903,11.6394,6501869,32.86
164653519,10.9054,8867740,22.61
164657619,11.8208,10257635,94.78
120044423,10.9488,4990126,83.52
120044855,10.1076,4633376,135.4
120042524,11.4745,6344499,29.74
164657617,10.5947,10257683,31.76
164657290,10.5463,10123707,29.66
120103814,8.6125,4990198,33.63
164656655,11.1083,9936571,64.03
120104708,11.5902,5685237,106.16
120104772,10.9378,5685244,29.16
164653465,10.2883,8802374,31.67
120104771,10.1856,5685279,7.54
164657629,11.0888,10257750,32.0
48418991,10.7981,11442227,27.72
164651962,9.3559,8348765,46.87
120104074,11.9066,5165979,69.56
164649684,11.4736,7588155,37.5
120103441,11.1721,4726049,248.25
164654546,10.2326,9202995,29.75
48421122,11.3181,11230630,30.88
164647422,9.7861,6756579,39.75
48421584,12.0166,11494169,40.82
164647758,12.1644,6842204,179.05
164649770,12.0659,7588209,43.05
164654659,12.065,9265822,47.08
164658193,10.1008,10453946,32.01
164657150,12.1974,10123890,110.77
120104857,11.8755,5770637,42.58
164668384,11.9015,10323583,83.56
164673849,9.3818,6756648,85.55
120103203,12.036,4540698,94.43
120103548,11.3104,4814689,87.61
48421171,11.71,11230715,185.11
164671229,11.6598,8543569,98.0
120105128,12.2206,5940587,103.3
120103571,11.8607,4814724,16.64
120103252,10.3755,4633721,66.92
164673417,8.8586,7097136,41.1
48421881,9.4065,11649294,33.28
164670569,11.9779,8935612,29.96
164674216,10.4134,6423690,34.16
164669883,9.5556,9389234,28.11
164658756,10.0941,10583857,42.92
164671009,9.1266,8673221,36.47
48421575,10.584,11494312,38.44
164671361,10.7571,8479182,33.59
164670275,8.3216,9139330,41.64
164668440,11.6977,10258061,61.09
164673855,11.0265,6756908,26.05
48421774,10.8972,11598116,17.77
164668275,9.6896,10389037,39.69
164673645,12.1205,6928249,32.75
120106506,9.0215,6103934,99.8
120172074,10.0831,4633907,30.53
120172052,11.6894,4633909,29.4
164671449,12.2874,8414303,107.36
120171730,12.3453,4903283,32.6
164668593,11.8107,10124179,22.93
164669616,12.2114,9511816,212.7
120107179,11.8352,5685682,98.48
120107066,10.0557,5770923,82.56
164671315,11.629,8479301,129.36
120107138,10.6767,5685751,31.84
164722421,10.8654,9996595,140.46
120106343,11.9553,6185317,111.2
164723041,10.1779,10389165,39.29
120106163,12.2904,6345145,47.22
267570049,10.8282,11177727,30.98
164676689,11.568,8148719,167.11
164721257,8.4473,9266192,78.3
120106972,11.1361,5856931,7.08
267570659,10.5663,11546913,176.25
164677218,9.5835,8479383,32.58
120107487,11.7371,5428360,96.25
164674260,9.0178,6502644,108.76
120251364,9.0584,5166444,93.25
164721707,10.6499,9511938,48.53
267569975,10.2664,11177749,33.94
120251806,11.7552,5513771,172.66
164678039,10.7286,9004448,26.95
267570614,10.9977,11494511,12.89
164677732,11.1035,8802962,31.18
164677068,11.7829,8414512,33.29
164677091,9.151,8414518,56.03
164677020,12.2769,11598312,49.39
267570793,9.3453,8349297,80.98
164722642,10.537,10124436,47.59
120251499,11.1844,5254812,90.81
164677938,11.4559,8936084,31.55
120251675,12.0243,5342486,85.9
120252056,10.9717,5599763,30.9
164677879,11.6927,8936104,31.75
164676951,9.3786,8349350,29.92
120253298,10.8724,6424157,100.0
164674272,11.9587,6502800,81.1
164676593,12.0003,8080889,180.35
164674880,11.5972,7014001,40.35
267570163,11.9714,11284496,104.03
164674745,12.1529,6842824,31.3
164677001,12.1658,8349379,33.09
267570853,9.6042,11649705,41.71
120251161,11.0414,4991033,48.55
120250582,11.2197,4634310,34.9
164674578,11.9671,6757332,64.49
164723020,11.2494,10389393,39.63
164674752,11.5952,6842918,38.68
164725349,10.824,9389690,29.42
120252100,11.8619,5686036,39.03
164724903,8.793,9634962,34.65
164724205,9.9675,10059338,9.66
164729866,12.0057,6502960,15.53
164727303,11.5122,8148993,32.66
120252942,11.4758,6266529,94.14
120253052,10.2207,6345456,130.57
267666914,11.6762,11598459,124.09
120253621,10.3767,6345474,32.97
120254889,10.2915,5514024,142.93
164729697,12.3009,6585857,26.92
120254932,10.6896,5428669,49.85
164727443,11.7839,8081069,33.63
164727191,12.231,8217125,53.67
164729556,12.1858,6757558,131.47
164726221,11.536,8803207,7.14
164725984,11.4527,8936339,44.22
120255828,11.3619,4903839,24.05
164726016,12.2335,8936347,73.59
164726169,11.7006,8868800,33.2
120254857,10.9073,5514079,86.86
164725734,10.943,9139859,71.96
267667635,12.0417,11231255,172.74
164727076,10.9685,8283356,134.51
120253897,11.1089,6185790,42.51
164725614,9.7282,9203775,70.22
164726750,10.7857,8479780,40.0
164729225,10.9159,6928997,120.07
164726119,11.3308,8868869,30.69
164727278,8.308,8217206,21.03
164725968,10.9038,8936409,6.89
164725364,9.094,9327993,33.79
267666820,11.4273,11649869,16.48
267667254,11.0975,11442897,118.85
164725950,10.4735,9004818,73.56
120253799,10.0698,6185855,53.31
164726175,10.0192,8868929,41.51
267667395,9.4196,11337714,38.33
164723608,8.8271,10454887,36.37
164726300,11.9002,8738333,59.97
120254430,11.9878,5771513,29.96
164725708,12.0535,9139970,32.23
164725140,11.5404,9512426,49.2
164727398,10.9456,8081278,33.95
120255577,11.3545,4991425,24.48
267667562,11.3392,11284760,33.85
164726591,11.7452,8544483,54.25
164726980,12.2375,8349732,139.68
164726254,11.2939,8803432,32.23
164730720,12.1231,7014489,33.65
120318295,12.3512,6185964,27.45
164780446,10.2373,9328135,56.48
164780799,10.5933,9512485,30.98
120316274,10.3645,4904086,34.99
48449456,10.7728,10962775,35.55
120314957,11.233,3934303,37.46
120315260,7.24,4135680,8.82
48448845,10.432,11284798,9.89
164781939,11.393,10192458,117.56
164778498,12.2313,8149325,31.46
48448838,12.1103,11284821,33.48
164730801,11.2614,7098252,24.45
120317840,11.323,5857548,31.74
120316268,12.0501,4904166,108.24
164730305,9.1365,6757928,95.71
48448261,11.8644,11650039,18.84
48448790,10.7872,11337843,25.67
48447990,11.96,11802037,29.91
48448214,11.45,11650041,8.6
164780707,10.8073,9450786,28.09
164730889,10.563,7098276,226.37
120314747,9.4618,3830833,30.59
120316666,11.4284,5079905,29.82
120317598,9.9514,5771685,39.89
164779186,12.2254,8544630,74.63
164781014,10.7187,9635388,38.67
